0.5, 0.059
1, 0.128
1.5, 0.193
2, 0.261
2.5, 0.332
3, 0.4
3.5, 0.47
4, 0.542
4.5, 0.612
5, 0.667
5.5, 0.748
6, 0.816
6.5, 0.884
7, 0.948
7.5, 1.02
8, 1.084
8.5, 1.152
9, 1.228
10, 1.36
11, 1.5
12, 1.64
